;F1;F2;F3;F4
paleogenomic;0.004176084106732642;0.00219670272920743;0.004838432165044179;0.0005728705575351188
germans;8.059055652856984e-06;0.028076177194928494;0.0444592279108268;0.023740868528084498
attila;0.06792288232723993;0.06400898681145367;0.06647406319222604;0.011211606290816042
barbaricum;4.28514809712323e-05;0.010479625327849292;0.0126918290078243;0.010296868370321698
plunder;0.0837170802797058;0.06958652286341335;0.0004695621871953305;0.04534464568930849
magister;0.027280252003336763;0.013587663420401248;0.0031473939119700417;0.014883474170673264
marc;0.017671346536304644;0.011158736182097518;0.03382510557835346;0.0001474573334167393
cleric;0.2069956559271707;0.11529888884452053;0.025242156911495506;0.008553372315770228
civilian;0.014890119622632977;0.0530565264276433;0.004039086612533418;0.01814328393426497
uncivilized;0.003537678059000703;0.0004838795941857307;0.002207099125686766;0.010356401097600415
lombards;0.02267907782735612;0.0011307329947366155;0.01809467934457458;0.0005302073077846306
pasquier;2.0602415892101472e-05;0.00041596662267870453;0.00013701175115341777;0.00010178914630001327
hydatius;0.041838424387731894;0.0005383715678411805;0.050421128985282844;0.0618451457015113
adrianople;0.015575004319273559;0.010450442422043876;0.024136833592384974;0.01006327026185072
406;0.007036133109373623;8.941706815583868e-05;0.01600580199915345;0.0008590716992176801
pejorative;0.004689826088352677;0.007852020509619398;0.03170395828043528;0.027929049281282974
savagery;0.0006266190904019245;0.020331159285188378;0.029885163788207058;0.056488222204410514
salviani;0.0011855209015894691;0.006759049244700544;0.0006797748707532583;0.0008446734733039822
rhomaioi;0.002030024787484865;0.003943937718805366;0.009353510450214866;0.00020187954276242514
othia;0.15137614839350474;0.14624875024629716;0.00044327979194852616;0.010564486862012678
massiliensis;0.0006469662940180594;0.003475842356379549;0.0024169134107937572;0.001151361500646293
bruni;0.0010970573179218397;0.001891479038773887;0.013466060802417404;0.008199942708594117
recruitment;0.011333671321907962;0.03741905191221025;0.0032885595820963576;0.025181026191454355
ostrogothic;0.05501923530264443;0.0022157716733395595;4.9332639258857066e-05;0.00470997888902424
sixth;0.04055398818646292;0.012222614674618246;0.018518559846314453;0.10095562269447378
prejudice;0.0001367750453166577;0.017421948482563083;0.04484769043227424;0.002348227863508937
theodosius;0.07672442467412537;0.0139760186100449;0.031070885683720986;0.04841629588965777
furor;4.294362396426681e-06;8.020642117715627e-06;3.1501149448621266e-05;0.00013280400582677118
greco;0.0018225208316218463;0.01861633567363917;0.061341905210431105;0.056335006045974856
maximinus;0.19448263322947104;0.11884978719356362;4.251882529830222e-05;0.004884165070772606
bosporus;0.009455127095802594;0.0015179486357344751;0.0027635180185001393;0.0013137237876553955
caesarea;0.015879500152410884;0.009703996366666032;0.0009666032007701353;0.007776406383940056
arianism;0.21467381324804272;0.19077073436014538;0.0035623580218566296;0.00465267594622167
cadastral;0.0006477570394441413;0.0017421610196516153;0.0008853530768634871;0.0004617260513188162
adversarial;0.007185327666727547;0.003087815202375493;0.00349289800582558;0.000361110230529623
term;0.0007052453497613657;0.06778515727138008;0.22196253483054326;0.09460324978544403
invective;0.010261321839172307;0.027301939006307972;0.11736066195818431;0.11113729127872406
senior;0.14912722865520814;0.11043930475574239;0.006815651846528958;0.004741916587458635
barrier;0.004074906534537904;0.07497411342619158;0.1700718565031701;0.18346846453513768
episcopi;0.13664707063583936;0.16479511860223728;6.406740126483609e-07;0.009847900749765796
armenia;0.03653006418050186;0.03727209785066151;0.005154189338536881;0.004936500477215676
syriac;0.012786993688610474;0.002101394007505249;0.004172299151420498;0.0069679984693446035
honorius;0.07378136688597449;0.029314397211834105;0.02628847802915313;0.055405475827118744
4th;5.5210162698473416e-05;0.0037249273939896424;0.03273108438002851;0.0011454043938416137
fear;0.05025280787287219;0.02538721707763175;2.9470781472225077e-05;0.062426146513951265
teall;0.003150853982466438;0.01277637498081678;0.00031575108506175004;0.015267271663812311
presbyteri;0.013353199025305315;0.03151150982366284;0.0004132451664974134;0.003331180102312798
speak;0.0022208861460611875;0.044718226409666585;0.1815916501044149;0.07714855525405309
inhabitant;0.007501763788840641;0.05627525832468845;0.04129982875752129;0.008969402149164286
chron;0.02247898721099477;0.0002834551734129061;0.024714835250112338;0.06368389713646178
corruptio;0.000696783533590083;0.0022361100378201692;0.02076967631949296;0.0026383586540689574
valentinian;0.07904200003258278;0.001762659433479919;0.015355459479411472;0.09003111851430985
general;0.01046132498432087;0.10164012259746574;0.07289953875488601;2.553880916961912e-05
employ;0.02584858672002389;0.09383554983426629;0.005229917577151177;0.1215361499815234
classical;0.060311632833602254;0.008963662084730864;0.0033780529899007;0.0031279412899198585
promotus;0.010337149064260188;0.0039234328864908;0.023159815483718323;8.50219644940507e-05
orose;0.026951685014946866;0.016501957332452587;0.01521834532594209;0.008361138030213279
society;0.31435868856283117;0.03271086844864672;0.026522395657068584;0.041544128252340586
antagonism;0.0020926801811911966;0.001751285078290302;0.019494943340530698;0.010711349870344606
395;0.02492014143234241;0.06408282144384256;0.28192764232930906;0.09268641211213986
barbarorum;0.011214573888575864;0.0010721991554818579;0.0052643337474342486;0.0011433018278415666
foederati;0.0356134736502394;0.02473282090113489;0.023217459772661708;0.025255648700266833
kindness;0.00015155100875464475;7.65456164507124e-05;0.0016495698485618875;0.0026891756408113613
