;F1;F2;F3;F4
attack;0.1259858718841502;0.10398709824671871;0.007063953169886314;0.01748296742039922
barbar;0.0010311947122801505;0.0032372684915706784;0.01663698887757934;0.001746651038760042
unchaste;0.0004999534509719603;0.0008382807558043779;0.00017002568463786598;0.0006629932818975104
cavafy;0.011313688302752579;0.0045194212733673045;5.897481748711769e-05;0.0009829761709299156
argue;0.0011818513979725772;0.05883242749506922;0.12111413162603987;0.05853636871492206
outsider;0.012134945083343137;0.00509947396782516;0.059226446967134264;0.030366210093168387
petrarch;0.005611758654784216;0.0002110605101921546;0.009804467396285012;0.07159099370360208
barbari;0.006511079517231836;0.002017902391169389;0.0022606982671669815;0.0015495289704555283
fornication;0.0010277301599654802;0.0007949461197013806;0.0015064863916673787;0.0014200921107868766
378;0.022091370224015233;0.0031492747228564102;0.01608528440823541;0.011724600367383318
writer;0.0017737159896328441;0.0033487746804106247;0.0958689461794249;0.03630127168280012
west;0.044224333398294735;0.0023799203882583185;0.009184070639736116;0.005151382959516093
eutropius;0.01885671672182258;0.031706097263062026;0.08376741218511544;0.01670170605007549
raid;0.04025018102588585;0.1131810675352997;0.009404633175645313;0.0019954517231668854
slavs;0.0016100457684681225;0.04236543472048981;0.022193610936980555;0.010121108373575494
enemy;0.048716300912868625;0.1308882608252002;0.01813031585209393;4.056845840789454e-05
alemanni;8.977769288457848e-05;0.004042048733637989;0.001422547448026573;0.006494341128290359
pinar;0.007055538442573487;0.015140915055293257;0.0018331815948204073;0.01328076193501886
struggle;0.007728970858022001;0.02987751714371246;0.031977874711137395;0.0012355421958883653
cesa;0.0031658814689549866;0.002550777498161513;0.003723628508716049;0.001784201177089098
layperson;0.1156136611101711;0.10029742360754249;0.002609269023718652;0.0022101174645713273
300–800;0.004318056469935938;0.0013665989372200612;0.0011778038628777803;3.7154835331074253e-05
energetic;0.016820187281664283;0.005070741302667395;0.012775605545164858;0.00011288194542943448
code;0.00010745736655790339;0.003780502683162516;0.0783718389328723;0.009148746373179176
early;0.19518972813934043;0.09481069574128066;0.002153498633927384;0.00015369655466567785
contingent;0.01700288115022987;0.03006404350646957;0.015221118486792709;0.001818111548522945
dislike;0.009041685089112465;0.007156877018626784;0.015829957698082597;4.175807433072426e-05
frankish;0.005082060181433293;0.00048735625323226116;0.02782234727714623;0.000524433919089018
periphery;0.05423982777164891;0.0007160448797407259;0.016888319673980856;0.00769642641625906
paul;0.01866664964853568;0.02941995961755454;0.0010616449929528235;0.0005306229796647586
usage;0.011150753246210208;0.0050388803931015;0.05025898555819941;0.03549053583374062
career;0.026574698864425556;0.0048427437545776626;0.0007391536534372217;0.0006919471540070612
habit;0.0018727139157240418;0.003857352191934722;0.046356738868731054;0.01960651871395261
revenue;0.006283133789471525;0.005190236582695447;0.0061487870103050886;0.006633568436736573
511;0.02744695094404804;0.006229666112326599;0.008281611235197705;0.00792103080708854
belisarius;0.03718222217460839;0.04728195516522397;0.0005859760185515578;0.03546076936661781
recede;0.00864836778249664;0.0009510889526452996;1.3911238314920912e-08;0.020511180692705612
palladius;0.030498789555563486;0.027662092555721777;9.174702804529947e-05;0.0006331933726204232
incident;0.009783950756436946;0.004773714791905558;0.0427756923754015;0.0029703505505469323
manner;0.0032081002621747834;0.026013400047884175;0.11758081073760304;0.010406504974851908
lombard;0.005882044524167073;0.00018610311718090034;0.02781439876111494;0.00051443348839273
european;0.2232681943676442;0.000329021532319883;0.009997069291516721;0.06169958454155329
caspian;0.009809124835122722;0.0510831132943141;0.2206892030633243;0.24199562227022897
land;0.04289124048991788;0.11145827659687571;0.0664898658048701;0.00036358722018060987
hatre;0.004065802105493773;0.0029675141704285945;0.0047278416284248495;0.004013509239729365
