;F1;F2;F3;F4
herodotus;9.894090865448348e-05;0.0013793771543806786;0.0041745191729219205;0.0031420695302316745
romanness;7.898184132652201e-05;7.068160374871358e-07;2.767626494262292e-06;2.672796575456771e-05
βάρβαροι;7.062034722269985e-05;2.201490399767175e-05;0.000165793636284156;0.0004090839073887455
28:7–10;2.410464804701616e-05;2.3515198473333826e-07;0.0003816558830191149;0.00024089932486554073
fourth;0.0010185561461030573;2.2980833874989773e-05;0.001049289484930031;0.008559358068431692
arbogast;8.79868490893458e-06;4.087300123895087e-06;2.9928571007863566e-06;1.47132216974113e-05
vice;8.20818404168275e-05;0.00047322361765477915;0.0005133415798490706;0.0004880247608261044
culture;0.011287331259860785;0.0011746630189167172;0.000505254423932006;0.0038221917925526454
gainas;0.0013249892122449212;6.23410191776974e-05;0.0006907793532838347;0.0001122314260591251
identities;0.0014146208422523396;0.0006145585648499798;0.0001505864975423149;1.8892700338310058e-05
incursion;0.0008835306533348455;0.004092059798620081;0.011796039087937195;0.008131937868679856
justinians;0.00032417950091369975;0.0012834892637405874;0.00016466079626397694;0.0009381501862621368
italy;0.00042911791655690163;9.005880870905434e-05;0.0003447278687699353;0.003775596704912409
richter;0.00014275423804177887;2.5160099829208893e-06;0.00013019857452725673;0.00017007034765250856
officer;0.0006987791229986433;0.0016073839254482066;0.00032120965410709285;0.0006241535901214344
nicenes;0.00421380928122797;0.00545281949250708;4.293001647453304e-05;0.0007773649839394267
barbaricis;0.00011828387363158783;7.254901974634186e-05;1.2951267796137711e-05;7.049725070784046e-06
goffart;0.00016188244529889226;0.00027564380806632577;0.0008006051057527581;0.001332896830802374
theodoric;0.0023592025170053248;0.000524116267342846;7.292391063507197e-05;0.002607308815337783
procopius;0.0015688099609875404;0.0015675528021341044;0.00025024009757155933;0.004514271039361025
christianity;0.0001595037655388513;0.000392157228342586;0.0010919685152291872;3.943283786888935e-06
amory;0.00031793205654187875;1.2315286811329735e-05;1.1812206541282964e-05;4.828309544035437e-05
migration;0.0018291325066719696;9.175202801109903e-07;3.096147650113927e-05;0.0010241780723765045
militum;0.001162128817350565;0.0007495616532372299;0.0003854712032179475;0.000894893167204961
fabiola;0.0008573758007133739;0.004124114716889222;0.022636893173108973;0.02036478017330477
kingdom;0.0007286399608241754;0.0005359790692892436;0.004446217884912429;4.7803189999536405e-05
sacerdote;0.005563016015047266;0.005665703633941647;6.561940965241772e-05;0.0008318466701309537
barbarous;5.6387279802974654e-06;0.00023408909531994412;0.0008996343736882292;0.0007955366171735783
