year,reseau,n_noeuds,n_liens,densite,composantes,taille_lcc,pct_lcc,diametre_lcc,clustering_moyen,degre_moyen,degre_pond_moyen
1988,newman,422,787,0.008859519762245163,134,21,4.976303317535545,2,0.03447349485881056,3.7298578199052135,1.2582938388625593
1988,pub,181,265,0.016267648864333947,134,26,14.3646408839779,3,0.038056195010067725,2.9281767955801103,5.3259668508287294
1989,simple,454,807,0.007847827989614026,148,21,4.6255506607929515,2,0.047789011533153083,3.555066079295154,4.154185022026431
1989,newman,454,807,0.007847827989614026,148,21,4.6255506607929515,2,0.03328140647585807,3.555066079295154,1.248898678414097
1989,pub,198,296,0.015177152232989797,148,28,14.14141414141414,3,0.036337231320220105,2.98989898989899,5.292929292929293
1990,simple,512,879,0.006719361545988258,165,24,4.6875,3,0.04723198934192832,3.43359375,4.015625
1990,newman,512,879,0.006719361545988258,165,24,4.6875,3,0.033087557466631785,3.43359375,1.26171875
1990,pub,228,323,0.012481644640234948,165,29,12.719298245614036,3,0.034541037544092254,2.8333333333333335,4.9035087719298245
1991,simple,561,1024,0.006518971224853578,176,24,4.27807486631016,3,0.047206864536165065,3.6506238859180034,4.185383244206774
1991,newman,561,1024,0.006518971224853578,176,24,4.27807486631016,3,0.03172557896292584,3.6506238859180034,1.2531194295900179
1991,pub,246,343,0.011382113821138212,176,30,12.195121951219512,3,0.034134581849662636,2.7886178861788617,4.715447154471545
1992,simple,593,1055,0.006010437081263388,184,24,4.0472175379426645,3,0.04637940133996382,3.558178752107926,4.064080944350759
1992,newman,593,1055,0.006010437081263388,184,24,4.0472175379426645,3,0.03185951032155248,3.558178752107926,1.2563237774030354
1992,pub,264,358,0.010312247954833506,184,31,11.742424242424242,4,0.033790754476682096,2.712121212121212,4.507575757575758
1993,simple,700,1556,0.006360106274269364,206,27,3.8571428571428568,2,0.048447747947454586,4.445714285714286,4.885714285714286
1993,newman,700,1556,0.006360106274269364,206,27,3.8571428571428568,2,0.03103213467662733,4.445714285714286,1.24
1993,pub,295,409,0.009431569237864637,206,34,11.525423728813559,4,0.03124021870611228,2.772881355932203,4.4135593220338984
