year,newman_n_noeuds,pub_n_noeuds,simple_n_noeuds,newman_n_liens,pub_n_liens,simple_n_liens,newman_densite,pub_densite,simple_densite,newman_composantes,pub_composantes,simple_composantes,newman_taille_lcc,pub_taille_lcc,simple_taille_lcc,newman_pct_lcc,pub_pct_lcc,simple_pct_lcc,newman_diametre_lcc,pub_diametre_lcc,simple_diametre_lcc,newman_clustering_moyen,pub_clustering_moyen,simple_clustering_moyen,newman_degre_moyen,pub_degre_moyen,simple_degre_moyen,newman_degre_pond_moyen,pub_degre_pond_moyen,simple_degre_pond_moyen
1985,301,130,301,601,226,601,0.013311184939091916,0.02695289206917114,0.013311184939091916,93,93,93,21,23,21,6.976744186046512,17.692307692307693,6.976744186046512,2,3,2,0.03536354252634451,0.04813831486868942,0.05373225993880778,3.993355481727575,3.476923076923077,3.993355481727575,1.3156146179401993,6.6461538461538465,4.863787375415282
1986,328,147,328,620,257,620,0.011561124785559783,0.02394930574969714,0.011561124785559783,104,104,104,21,25,21,6.402439024390244,17.006802721088434,6.402439024390244,2,3,2,0.0351304126053635,0.044153844893670566,0.051492500737453754,3.7804878048780486,3.496598639455782,3.7804878048780486,1.3201219512195121,6.448979591836735,4.603658536585366
1987,362,162,362,648,260,648,0.00991720359345587,0.01993712138639675,0.00991720359345587,117,117,117,21,25,21,5.801104972375691,15.432098765432098,5.801104972375691,2,3,2,0.03542462920837213,0.042123139090758675,0.05014759428390526,3.5801104972375692,3.2098765432098766,3.5801104972375692,1.2955801104972375,5.888888888888889,4.3259668508287294
1988,422,181,422,787,265,787,0.008859519762245163,0.016267648864333947,0.008859519762245163,134,134,134,21,26,21,4.976303317535545,14.3646408839779,4.976303317535545,2,3,2,0.03447349485881056,0.038056195010067725,0.050252236458541516,3.7298578199052135,2.9281767955801103,3.7298578199052135,1.2582938388625593,5.3259668508287294,4.369668246445498
1989,454,198,454,807,296,807,0.007847827989614026,0.015177152232989797,0.007847827989614026,148,148,148,21,28,21,4.6255506607929515,14.14141414141414,4.6255506607929515,2,3,2,0.03328140647585807,0.036337231320220105,0.047789011533153083,3.555066079295154,2.98989898989899,3.555066079295154,1.248898678414097,5.292929292929293,4.154185022026431
1990,512,228,512,879,323,879,0.006719361545988258,0.012481644640234948,0.006719361545988258,165,165,165,24,29,24,4.6875,12.719298245614036,4.6875,3,3,3,0.033087557466631785,0.034541037544092254,0.04723198934192832,3.43359375,2.8333333333333335,3.43359375,1.26171875,4.9035087719298245,4.015625
1991,561,246,561,1024,343,1024,0.006518971224853578,0.011382113821138212,0.006518971224853578,176,176,176,24,30,24,4.27807486631016,12.195121951219512,4.27807486631016,3,3,3,0.03172557896292584,0.034134581849662636,0.047206864536165065,3.6506238859180034,2.7886178861788617,3.6506238859180034,1.2531194295900179,4.715447154471545,4.185383244206774
1992,593,264,593,1055,358,1055,0.006010437081263388,0.010312247954833506,0.006010437081263388,184,184,184,24,31,24,4.0472175379426645,11.742424242424242,4.0472175379426645,3,4,3,0.03185951032155248,0.033790754476682096,0.04637940133996382,3.558178752107926,2.712121212121212,3.558178752107926,1.2563237774030354,4.507575757575758,4.064080944350759
1993,700,295,700,1556,409,1556,0.006360106274269364,0.009431569237864637,0.006360106274269364,206,206,206,27,34,27,3.8571428571428568,11.525423728813559,3.8571428571428568,2,4,2,0.03103213467662733,0.03124021870611228,0.048447747947454586,4.445714285714286,2.772881355932203,4.445714285714286,1.24,4.4135593220338984,4.885714285714286
1994,916,332,916,4986,431,4986,0.01189777364163505,0.007844065082080588,0.01189777364163505,232,232,232,50,35,50,5.458515283842795,10.542168674698797,5.458515283842795,1,4,1,0.027146946750337162,0.03066101870976785,0.0530152549652437,10.88646288209607,2.5963855421686746,10.88646288209607,1.195414847161572,4.054216867469879,11.222707423580786
1995,995,365,995,5089,445,5089,0.010290891075093778,0.006698780671383411,0.010290891075093778,259,259,259,50,35,50,5.025125628140704,9.58904109589041,5.025125628140704,1,4,1,0.02776794852287673,0.029761012642168492,0.05214622418205288,10.229145728643216,2.4383561643835616,10.229145728643216,1.1879396984924624,3.780821917808219,10.542713567839195
1996,1062,395,1062,5196,477,5196,0.00922272453766567,0.006129923536593202,0.00922272453766567,275,275,275,51,35,51,4.80225988700565,8.860759493670885,4.80225988700565,2,4,2,0.027929463150404003,0.030417600915344702,0.05179061564530559,9.785310734463277,2.4151898734177215,9.785310734463277,1.1911487758945387,3.6658227848101266,10.08286252354049
1997,1178,439,1178,5429,524,5429,0.007831195826054845,0.005450328163842689,0.007831195826054845,302,302,302,51,38,51,4.32937181663837,8.656036446469248,4.32937181663837,2,4,2,0.02855035206996856,0.03365630715969791,0.05222957885644052,9.217317487266554,2.387243735763098,9.217317487266554,1.195246179966044,3.580865603644647,9.514431239388795
1998,1239,471,1239,5506,558,5506,0.007179170236041625,0.0050413335140262906,0.007179170236041625,318,318,318,51,39,51,4.116222760290557,8.280254777070063,4.116222760290557,2,4,2,0.02929122634697298,0.03420198005073402,0.05217608525235969,8.887812752219531,2.3694267515923566,8.887812752219531,1.20500403551251,3.515923566878981,9.184826472962067
1999,1572,538,1572,9550,618,9550,0.007734008419136285,0.004278208136902661,0.007734008419136285,361,361,361,68,40,68,4.325699745547073,7.434944237918216,4.325699745547073,3,4,3,0.027287615250301496,0.03295548822111312,0.055791009768044485,12.150127226463104,2.2973977695167287,12.150127226463104,1.1844783715012723,3.3605947955390336,12.419847328244275
2000,1815,603,1815,12421,724,12421,0.007545232823372544,0.003988914783777679,0.007545232823372544,391,391,391,221,42,221,12.176308539944904,6.965174129353234,12.176308539944904,7,4,7,0.026441322610954575,0.03629644303750046,0.05692899013851038,13.687052341597797,2.4013266998341627,13.687052341597797,1.1917355371900826,3.4228855721393034,13.948209366391184
2001,1998,656,1998,13933,810,13933,0.006983949397569828,0.0037702476261403835,0.006983949397569828,422,422,422,357,43,357,17.86786786786787,6.554878048780488,17.86786786786787,8,4,8,0.026359613860063576,0.03808889910706994,0.05734360409510124,13.946946946946946,2.4695121951219514,13.946946946946946,1.1901901901901901,3.448170731707317,14.194194194194194
2002,2230,720,2230,16696,874,16696,0.006717806653831375,0.0033766033070622777,0.006717806653831375,461,461,461,534,53,534,23.946188340807176,7.361111111111112,23.946188340807176,10,9,10,0.026367580782285984,0.03732977512247639,0.05759279637694187,14.973991031390135,2.4277777777777776,14.973991031390135,1.193273542600897,3.3916666666666666,15.217937219730942
2003,2439,783,2439,18332,970,18332,0.006165869698073519,0.0031683504652902307,0.006165869698073519,494,494,494,603,67,603,24.723247232472325,8.55683269476373,24.723247232472325,12,11,12,0.026673109854618737,0.03777029527398335,0.05828330846374122,15.03239032390324,2.4776500638569603,15.03239032390324,1.1976219762197622,3.4329501915708813,15.275932759327594
2004,2740,857,2740,22673,1081,22673,0.00604221797608483,0.0029471422807227994,0.00604221797608483,537,537,537,775,95,775,28.284671532846716,11.085180863477246,28.284671532846716,12,11,12,0.02662899997865536,0.008985704231949783,0.060358345359863584,16.54963503649635,2.5227537922987167,16.54963503649635,1.2244525547445255,3.6242707117852975,17.446715328467153
2005,3016,939,3016,25491,1196,25491,0.005606582472254114,0.002715768487548565,0.005606582472254114,586,586,586,858,107,858,28.448275862068968,11.395101171458998,28.448275862068968,12,11,12,0.02654169552438855,0.008853879993691333,0.06017969389483037,16.903846153846153,2.5473908413205537,16.903846153846153,1.2281167108753315,3.642172523961661,17.746684350132625
2006,3290,1023,3290,27331,1266,27331,0.00505156268338507,0.002421793849102731,0.00505156268338507,640,640,640,905,111,905,27.50759878419453,10.850439882697946,27.50759878419453,12,11,12,0.02680441049103282,0.009000985455793378,0.06032467854625355,16.614589665653494,2.4750733137829912,16.614589665653494,1.229179331306991,3.558162267839687,17.425531914893618
2007,3638,1140,3638,29806,1615,29806,0.004505341306887567,0.0024875621890547263,0.004505341306887567,694,694,694,1016,135,1016,27.92743265530511,11.842105263157894,27.92743265530511,12,11,12,0.027222425915510436,0.011939871831873616,0.03518275187113944,16.38592633315008,2.8333333333333335,16.38592633315008,1.2707531610775151,5.973684210526316,17.388675096206708
2008,3914,1232,3914,30473,1773,30473,0.003979371984505613,0.002338137086309304,0.003979371984505613,747,747,747,1061,149,1061,27.1078180889116,12.094155844155845,27.1078180889116,12,11,12,0.02784656050885192,0.011477174690849228,0.0351874640555091,15.571282575370464,2.8782467532467533,15.571282575370464,1.264179867143587,5.808441558441558,16.508431272355647
2009,4351,1357,4351,34160,2016,34160,0.0036096867677400096,0.0021911947880866828,0.0036096867677400096,808,808,808,1180,188,1180,27.120202252355778,13.854089904200443,27.120202252355778,14,13,14,0.014576541944028416,0.011748863989067783,0.03575836474487567,15.702137439669041,2.9712601326455417,15.702137439669041,1.2709721903010802,5.929255711127487,16.60583773845093
2010,4760,1483,4760,35465,2090,35465,0.0031311747224630555,0.0019018967097186922,0.0031311747224630555,891,891,891,1222,198,1222,25.672268907563023,13.35131490222522,25.672268907563023,14,13,14,0.015002119353858633,0.010911807237922289,0.03623855968698268,14.90126050420168,2.8186109238031016,14.90126050420168,1.2724789915966386,5.673634524612273,16.191176470588236
2011,5146,1617,5146,36921,2226,36921,0.0027889985598370157,0.0017037418027517038,0.0027889985598370157,969,969,969,1291,218,1291,25.08744656043529,13.481756338899196,25.08744656043529,14,13,14,0.015285037677792969,0.01077711953718524,0.03638839544029978,14.349397590361447,2.7532467532467533,14.349397590361447,1.2757481539059463,5.495361781076067,15.657598134473377
2012,5567,1769,5567,37983,2401,37983,0.0024516294851578083,0.0015353665056055904,0.0024516294851578083,1051,1051,1051,1415,260,1415,25.41763966229567,14.697569248162804,25.41763966229567,19,18,19,0.015489354210872193,0.010728712905434349,0.036190649893052165,13.64576971438836,2.714527981910684,13.64576971438836,1.27429495239806,5.278688524590164,14.871923836895995
2013,6197,1985,6197,40341,2781,40341,0.0021012791441078187,0.001412306004712765,0.0021012791441078187,1140,1140,1140,1610,338,1610,25.980313054703892,17.027707808564234,25.980313054703892,19,18,19,0.015612545346178194,0.010635451829736832,0.03615823944148931,13.019525576892045,2.802015113350126,13.019525576892045,1.2765854445699532,5.161712846347607,14.14458609004357
2014,6801,2185,6801,42384,2992,42384,0.001832948441838138,0.0012539710480213913,0.001832948441838138,1258,1258,1258,1952,411,1952,28.701661520364652,18.810068649885583,28.701661520364652,19,18,19,0.015883341344922353,0.01046267567203332,0.03651218222146167,12.464049404499338,2.7386727688787187,12.464049404499338,1.2805469783855314,5.016018306636155,13.605058079694162
2015,7529,2447,7529,45673,3978,45673,0.0016116570302940568,0.0013292429096184992,0.0016116570302940568,1379,1379,1379,2118,455,2118,28.13122592641785,18.594196975888842,28.13122592641785,20,19,20,0.015947265622056464,0.010553734677696849,0.036580639522915515,12.132554124053659,3.2513281569268493,12.132554124053659,1.289148625315447,5.428688189619943,13.238677115154735
2016,8169,2650,8169,47740,4233,47740,0.001430960959524367,0.001206008675399047,0.001430960959524367,1494,1494,1494,2263,495,2263,27.702289141877827,18.679245283018865,27.702289141877827,19,18,19,0.01611666589478302,0.010197932185449404,0.036542083358173584,11.68808911739503,3.1947169811320753,11.68808911739503,1.2858366997184478,5.283018867924528,12.74109438119721
2017,8819,2861,8819,50060,4565,50060,0.0012874530601069553,0.0011158013604710565,0.0012874530601069553,1606,1606,1606,2546,589,2546,28.869486336319312,20.58720727018525,28.869486336319312,21,20,21,0.016331904944172637,0.010208217590051635,0.036692176808225035,11.352761084023133,3.191191890947221,11.352761084023133,1.2873341648713006,5.258301293254107,12.396643610386665
2018,9554,3101,9554,54256,5124,54256,0.0011889203301322518,0.0010660452923614652,0.0011889203301322518,1700,1700,1700,3040,699,3040,31.819133347289092,22.54111576910674,31.819133347289092,20,19,20,0.016380653164227803,0.010494905252680384,0.03697519138025807,11.357755913753401,3.304740406320542,11.357755913753401,1.3018630939920453,5.385359561431796,12.50345405065941
2019,10499,3353,10499,60191,5645,60191,0.0010922122675918785,0.0010045148895976744,0.0010922122675918785,1809,1809,1809,3424,780,3424,32.61262977426422,23.262749776319712,32.61262977426422,20,19,20,0.016286429574629165,0.010382311339263081,0.03730762736844096,11.466044385179542,3.367133909931405,11.466044385179542,1.3058386513001239,5.444676409185804,12.65891989713306
2020,11373,3660,11373,64946,6716,64946,0.0010043163054817646,0.0010029913515144184,0.0010043163054817646,1908,1908,1908,4078,1003,4078,35.85685395234327,27.404371584699454,35.85685395234327,22,21,22,0.012416198255677243,0.01100289984208304,0.029583188882401485,11.421085025938627,3.6699453551912566,11.421085025938627,1.3275301151850876,6.027322404371585,12.671766464433308
2021,12162,3896,12162,69740,7109,69740,0.000943056366170694,0.0009369406889789205,0.000943056366170694,2022,2022,2022,4484,1137,4484,36.86893603025818,29.183778234086244,36.86893603025818,20,19,20,0.012314459121680681,0.010894373418889223,0.029587350072001726,11.46850846900181,3.6493839835728954,11.46850846900181,1.3272488077618814,5.949691991786447,12.679657950994903
2022,12946,4124,12946,76954,7659,76954,0.0009183823681660224,0.0009008864892433518,0.0009183823681660224,2121,2121,2121,4957,1249,4957,38.28981924918894,30.28612997090204,38.28981924918894,19,18,19,0.012233007756327473,0.010905207622145937,0.02968221810147282,11.88845975590916,3.7143549951503396,11.88845975590916,1.3355476595087286,6.080019398642095,13.160821875482775
2023,13608,4349,13608,81288,8222,81288,0.0008780105788998271,0.0008696180090253276,0.0008780105788998271,2202,2202,2202,5349,1376,5349,39.307760141093475,31.63945734651644,39.307760141093475,18,17,18,0.012212193580720366,0.011259828688601838,0.02975034169671003,11.947089947089948,3.781099103242125,11.947089947089948,1.3463403880070546,6.211083007587951,13.232363315696649
2024,14481,4581,14481,89467,8901,89467,0.0008533471750562082,0.0008484827686790607,0.0008533471750562082,2294,2294,2294,5841,1497,5841,40.33561218147918,32.678454485920106,40.33561218147918,18,17,18,0.01206216617242987,0.011222062081991455,0.029826209544495344,12.356467094813894,3.8860510805500983,12.356467094813894,1.3545335266901457,6.373717528923816,13.653062633796008
2025,15012,4734,15012,93378,9425,93378,0.000828755422149523,0.0008412916848872147,0.000828755422149523,2335,2335,2335,6239,1616,6239,41.56008526512124,34.13603717786227,41.56008526512124,18,17,18,0.012005089960144913,0.011211219630861016,0.02990482422617663,12.440447641886491,3.981833544571187,12.440447641886491,1.3642419397815082,6.530629488804394,13.844124700239808
