"";"banalfreq";"X.date_2020.06.26";"X.date_2020.07.13";"X.date_2020.12.16";"X.date_2021.01.23";"X.date_2021.03.23";"X.date_2021.03.24";"X.date_2021.04.04";"X.date_2021.05.20";"X.date_2021.05.21";"X.date_2021.08.21";"X.date_2021.08.23";"X.date_2021.10.19";"X.date_2021.10.21";"X.date_2021.12.03";"X.date_2022.04.20";"X.date_2022.05.09";"X.date_2022.06.16";"X.date_2022.06.23";"X.date_2022.06.25";"X.date_2022.09.19";"X.date_2022.10.25";"X.date_2023.01.15";"X.date_2023.02.05";"X.date_2023.04.05";"X.date_2023.05.22";"X.date_2023.08.10";"X.date_2023.10.27";"X.date_2023.11.29";"X.date_2023.12.19";"X.date_2024.01.28";"X.date_2024.02.10";"X.date_2024.02.17";"X.date_2024.09.26";"X.date_2024.11.12";"X.date_2025.03.21";"X.date_2025.04.15";"X.date_2025.04.27";"X.date_2025.06.03";"X.date_2025.06.19";"X.date_2025.06.29";"X.date_2025.07.07";"X.date_2025.08.06";"X.date_2025.08.07";"X.date_2025.09.12";"X.date_2026.03.11"
"imposer";23;0,3476;-0,1058;-0,2206;-0,0999;-0,1539;-0,1453;-0,1972;-0,1888;0,2316;0,6561;1,5306;-0,4048;-0,0597;-0,0576;0,3323;-0,0775;-0,2521;-0,0736;-0,0454;-0,1131;-0,0658;-0,0745;-0,0157;-0,1378;-0,1354;0,3893;-0,0455;-0,0355;-0,0617;1,0501;-0,5157;0,6167;-0,3939;-0,0756;0,712;0,9372;-0,0563;-0,0751;-0,0669;-0,5533;0,4475;0,3858;-0,1707;-0,1521;-0,0721
"orient";37;-0,4166;-0,1703;0,2532;-0,1607;-0,2477;-0,2338;-0,3172;0,3543;0,3885;1,4359;1,3795;-0,6513;-0,096;0,7163;0,1974;-0,1247;-0,4057;-0,1184;-0,073;-0,182;-0,1058;-0,1199;-0,0253;-0,2217;-0,2178;-0,3664;-0,0733;-0,0572;-0,0993;-0,0652;1,4355;1,1995;-0,2377;-0,1217;-0,1508;-0,0858;-0,0906;-0,1208;-0,1076;-0,3976;-0,3084;-0,216;0,2488;-0,2446;-0,116
"mettre";69;-0,7772;0,7833;-0,6619;0,3023;1,0499;0,5803;-0,5917;-0,2565;0,3147;-0,8757;-0,2902;-0,3187;-0,179;0,4836;-0,8159;0,3823;-0,7567;0,3994;-0,1361;-0,3395;-0,1974;0,3952;-0,0472;0,2117;0,2164;-0,6835;-0,1367;1,5992;-0,1852;-0,1216;-0,4963;1,2024;-0,6049;-0,227;-0,2813;0,511;0,4917;0,3927;-0,2008;0,5024;0,8421;1,6312;0,5701;-0,1426;-0,2164
"régner";16;-0,1801;-0,0736;-0,1534;-0,0695;0,6605;0,6827;-0,1371;-0,6667;-0,2669;0,6279;1,3224;0,3214;-0,0415;-0,0401;-0,1891;-0,0539;-0,1754;-0,0512;-0,0315;-0,0787;-0,0458;-0,0518;-0,0109;-0,0959;-0,0942;-0,1584;-0,0317;-0,0247;-0,0429;-0,0282;0,7189;-0,29;-0,274;-0,0526;-0,0652;-0,0371;-0,0392;-0,0522;-0,0465;-0,3849;-0,1334;0,5962;0,7162;-0,1058;0,9623
"général";28;-0,3153;-0,1289;-0,2685;-0,1216;-0,1874;-0,1769;0,372;-0,2829;-0,4671;1,1634;0,7514;-0,4929;-0,0726;-0,0701;-0,331;-0,0944;-0,307;-0,0896;-0,0552;-0,1377;-0,0801;-0,0907;-0,0191;1,2515;-0,1648;-0,2772;-0,0554;-0,0433;-0,0751;-0,0493;1,3015;0,4972;-0,4795;0,7188;-0,1141;-0,0649;-0,0686;-0,0914;-0,0814;0,722;-0,2334;0,2892;0,3801;-0,1851;-0,0878
"auprès";11;-0,1238;-0,0506;-0,1055;-0,0478;-0,0736;-0,0695;0,7096;-0,4583;-0,1835;0,9908;1,7691;-0,1936;-0,0285;-0,0275;-0,13;-0,0371;-0,1206;-0,0352;-0,0217;-0,0541;-0,0315;-0,0356;-0,0075;-0,0659;-0,0647;-0,1089;-0,0218;-0,017;-0,0295;-0,0194;0,3633;-0,1994;-0,1884;-0,0362;-0,0448;-0,0255;-0,0269;-0,0359;-0,032;-0,2646;0,7206;0,3027;-0,2476;0,812;-0,0345
"pendant";21;1,001;-0,0966;0,4306;-0,0912;-0,1405;-0,1327;0,4694;0,2331;0,2568;-0,4773;-0,1548;-0,3696;-0,0545;-0,0526;-0,2482;-0,0708;-0,2302;-0,0672;1,0412;-0,1033;-0,0601;-0,068;-0,0143;-0,1258;-0,1236;-0,2079;-0,0416;-0,0324;-0,0563;-0,037;0,5445;-0,3807;0,2494;-0,0691;-0,0856;-0,0487;-0,0514;1,971;-0,0611;0,5035;0,4793;-0,1989;-0,1469;0,5629;-0,0658
"retour";26;0,3095;0,6183;-0,2493;1,562;-0,174;-0,1643;-0,2229;-1,0835;-0,4338;0,5327;1,3564;-0,4577;-0,0674;-0,0651;-0,3073;-0,0876;-0,285;-0,0832;-0,0513;-0,1279;-0,0744;-0,0843;-0,0178;1,3094;0,5273;-0,2574;-0,0515;-0,0402;-0,0697;-0,0458;0,4216;1,0542;-0,1344;-0,0855;-0,1059;-0,0603;-0,0637;-0,0849;-0,0756;-0,6255;0,4058;0,324;-0,5854;0,4856;0,7667
"placer";10;0,6414;-0,046;-0,0959;1,0217;-0,0669;-0,0632;-0,0857;-0,4167;-0,1668;0,5434;0,3825;0,4773;-0,0259;-0,025;-0,1182;-0,0337;-0,1096;-0,032;-0,0197;-0,0492;-0,0286;-0,0324;-0,0068;0,8899;-0,0589;-0,099;-0,0198;-0,0154;1,2226;-0,0176;0,3945;-0,1813;-0,1712;-0,0329;-0,0407;-0,0232;-0,0245;-0,0326;-0,0291;-0,2405;-0,0833;0,332;-0,2251;-0,0661;-0,0313
"jeune";22;0,3618;-0,1012;-0,211;-0,0955;-0,1472;-0,139;-0,1886;-0,1718;0,2438;0,7039;0,9821;-0,3872;-0,0571;-0,0551;-0,26;-0,0741;-0,2412;-0,0704;-0,0434;-0,1082;0,87;-0,0713;1,4684;-0,1318;-0,1295;-0,2178;-0,0436;-0,034;-0,059;1,0685;0,5166;-0,3988;-0,3768;0,814;-0,0896;-0,051;-0,0539;-0,0718;-0,064;-0,5292;-0,1834;-0,5987;1,6401;-0,1454;0,8331
"fils";16;-0,1801;-0,0736;-0,1534;-0,0695;-0,1071;-0,1011;-0,1371;-0,6667;-0,2669;0,2871;0,6953;-0,2816;-0,0415;-0,0401;-0,1891;-0,0539;-0,1754;-0,0512;-0,0315;0,7806;-0,0458;-0,0518;-0,0109;-0,0959;-0,0942;-0,1584;-0,0317;-0,0247;-0,0429;-0,0282;0,7189;-0,29;0,3299;0,9427;0,8558;-0,0371;-0,0392;-0,0522;-0,0465;0,6735;-0,1334;1,1596;0,249;-0,1058;-0,0502
"soldat";12;-0,1351;-0,0552;-0,1151;-0,0521;-0,0803;-0,0758;-0,1029;-0,5;-0,2002;0,8999;1,661;-0,2112;-0,0311;-0,0301;-0,1418;-0,0404;-0,1315;-0,0384;-0,0237;-0,059;-0,0343;-0,0389;-0,0082;-0,0719;-0,0706;-0,1188;-0,0238;-0,0185;-0,0322;-0,0211;0,9225;-0,2175;-0,2055;1,0612;-0,0489;-0,0278;-0,0294;-0,0392;-0,0349;0,3138;-0,1;0,2769;0,3343;-0,0793;-0,0376
"tribu";12;-0,1351;-0,0552;-0,1151;-0,0521;-0,0803;-0,0758;-0,1029;1,7212;1,1372;-0,1988;0,3243;-0,2112;-0,0311;-0,0301;-0,1418;-0,0404;-0,1315;-0,0384;-0,0237;-0,059;-0,0343;-0,0389;-0,0082;-0,0719;-0,0706;-0,1188;-0,0238;-0,0185;-0,0322;-0,0211;-0,269;-0,2175;-0,2055;-0,0395;-0,0489;-0,0278;-0,0294;-0,0392;-0,0349;-0,2886;-0,1;1,4874;0,3343;-0,0793;-0,0376
"servir";16;0,4691;-0,0736;-0,1534;-0,0695;-0,1071;-0,1011;-0,1371;-0,6667;-0,2669;0,2871;0,2401;0,3214;-0,0415;-0,0401;0,4522;-0,0539;-0,1754;-0,0512;-0,0315;-0,0787;1;-0,0518;-0,0109;-0,0959;0,7101;-0,1584;-0,0317;-0,0247;-0,0429;-0,0282;0,7189;0,862;0,3299;-0,0526;-0,0652;-0,0371;-0,0392;-0,0522;-0,0465;0,2308;-0,1334;0,1985;0,249;-0,1058;-0,0502
"bref";10;-0,1126;-0,046;-0,0959;-0,0434;-0,0669;-0,0632;-0,0857;-0,4167;-0,1668;0,5434;1,0338;1,2412;-0,0259;-0,025;-0,1182;-0,0337;-0,1096;-0,032;-0,0197;-0,0492;-0,0286;-0,0324;-0,0068;-0,0599;-0,0589;-0,099;-0,0198;-0,0154;-0,0268;-0,0176;-0,2242;-0,1813;-0,1712;-0,0329;-0,0407;-0,0232;-0,0245;-0,0326;-0,0291;-0,2405;0,7579;0,332;1,0573;-0,0661;-0,0313
"autant";33;0,2404;-0,1519;-0,3165;-0,1433;-0,2209;-0,2085;-0,2829;1,1194;0,8973;0,3308;0,2849;-0,207;-0,0856;-0,0827;-0,3901;0,646;-0,3618;-0,1056;-0,0651;-0,1623;-0,0944;-0,1069;1,2959;-0,1977;0,4429;-0,3268;-0,0653;0,9556;-0,0885;-0,0582;-0,7399;1,3525;0,4359;-0,1085;-0,1345;-0,0765;-0,0808;-0,1077;-0,096;0,5822;0,3286;-0,1703;-0,743;-0,2182;-0,1035
"lequel";14;-0,1576;-0,0644;-0,1342;-0,0608;-0,0937;-0,0884;-0,12;0,4306;0,381;0,3521;0,2779;0,3635;-0,0363;-0,0351;-0,1655;0,9875;-0,1535;-0,0448;-0,0276;0,8338;-0,04;-0,0454;-0,0096;-0,0839;-0,0824;-0,1386;-0,0277;-0,0216;-0,0376;-0,0247;-0,3139;-0,2538;0,3724;-0,046;-0,057;-0,0325;-0,0343;-0,0457;-0,0407;-0,3367;1,5494;0,683;-0,3152;-0,0925;-0,0439
"mourir";12;-0,1351;-0,0552;-0,1151;-0,0521;-0,0803;-0,0758;-0,1029;-0,5;-0,2002;0,8999;0,8969;0,4144;-0,0311;-0,0301;0,555;-0,0404;-0,1315;-0,0384;-0,0237;-0,059;-0,0343;-0,0389;-0,0082;-0,0719;-0,0706;-0,1188;-0,0238;-0,0185;-0,0322;-0,0211;-0,269;1,0757;-0,2055;-0,0395;-0,0489;-0,0278;-0,0294;-0,0392;-0,0349;0,3138;-0,1;0,2769;0,3343;-0,0793;-0,0376
"ensemble";11;-0,1238;-0,0506;0,6663;-0,0478;-0,0736;-0,0695;-0,0943;-0,4583;-0,1835;0,4854;0,9614;0,4441;-0,0285;-0,0275;-0,13;-0,0371;-0,1206;-0,0352;-0,0217;-0,0541;-0,0315;-0,0356;-0,0075;-0,0659;-0,0647;-0,1089;-0,0218;-0,017;-0,0295;-0,0194;0,9874;-0,1994;-0,1884;-0,0362;-0,0448;-0,0255;-0,0269;-0,0359;-0,032;1,7305;-0,0917;-0,2993;-0,2476;-0,0727;-0,0345
"simplement";13;-0,1464;0,8905;-0,1246;-0,0564;-0,087;-0,0821;-0,1114;1,5936;1,0754;0,3909;0,839;-0,2288;-0,0337;-0,0326;0,5258;-0,0438;-0,1425;-0,0416;-0,0256;-0,0639;-0,0372;-0,0421;-0,0089;-0,0779;-0,0765;-0,1287;-0,0257;-0,0201;-0,0349;-0,0229;-0,2914;-0,2357;0,3968;-0,0428;-0,053;-0,0301;-0,0318;-0,0424;-0,0378;-0,3127;-0,1083;-0,3538;-0,2926;-0,0859;-0,0408
"italien";10;-0,1126;-0,046;-0,0959;-0,0434;-0,0669;-0,0632;-0,0857;-0,4167;-0,1668;1,8092;0,3825;-0,176;-0,0259;-0,025;1,5515;-0,0337;-0,1096;-0,032;-0,0197;-0,0492;-0,0286;-0,0324;-0,0068;-0,0599;-0,0589;-0,099;-0,0198;-0,0154;-0,0268;-0,0176;-0,2242;-0,1813;-0,1712;-0,0329;-0,0407;1,2841;-0,0245;-0,0326;-0,0291;-0,2405;0,7579;0,332;-0,2251;-0,0661;-0,0313
"heure";24;1,6447;-0,1104;-0,2301;-0,1042;1,2872;1,3316;0,4233;-1,0001;-0,4004;-0,5808;-0,1925;0,2062;-0,0622;-0,0601;0,3191;-0,0809;-0,2631;1,8752;-0,0473;-0,118;0,835;-0,0778;-0,0164;-0,1438;-0,1413;0,3753;0,9844;-0,0371;-0,0644;-0,0423;-0,5381;-0,4351;0,6251;-0,0789;-0,0978;-0,0557;-0,0588;-0,0784;0,8283;-0,2031;0,4329;0,3638;-0,5403;-0,1587;-0,0752
"cependant";11;0,6054;-0,0506;-0,1055;-0,0478;-0,0736;-0,0695;0,7096;-0,4583;-0,1835;0,9908;0,3516;0,4441;-0,0285;-0,0275;-0,13;-0,0371;-0,1206;-0,0352;-0,0217;0,9314;-0,0315;-0,0356;-0,0075;-0,0659;-0,0647;-0,1089;-0,0218;-0,017;-0,0295;-0,0194;0,9874;-0,1994;-0,1884;-0,0362;-0,0448;-0,0255;-0,0269;-0,0359;-0,032;0,3408;-0,0917;-0,2993;-0,2476;-0,0727;-0,0345
"constituer";13;-0,1464;-0,0598;-0,1246;-0,0564;-0,087;-0,0821;-0,1114;0,4729;0,4055;-0,2266;0,2998;1,0361;-0,0337;-0,0326;-0,1536;-0,0438;-0,1425;-0,0416;-0,0256;-0,0639;-0,0372;-0,0421;-0,0089;-0,0779;-0,0765;-0,1287;-0,0257;-0,0201;-0,0349;-0,0229;1,6041;-0,2357;-0,2226;-0,0428;-0,053;-0,0301;-0,0318;-0,0424;-0,0378;0,2897;-0,1083;0,7331;-0,2926;-0,0859;-0,0408
"elles";33;1,287;-0,1519;0,791;-0,1433;-0,2209;-0,2085;-0,2829;-0,3893;-0,5506;-0,5124;0,2849;-0,207;-0,0856;-0,0827;0,2272;-0,1112;-0,3618;-0,1056;-0,0651;-0,1623;-0,0944;0,661;-0,0225;-0,1977;-0,1943;-0,3268;-0,0653;-0,051;-0,0885;-0,0582;0,6386;0,4056;1,4274;-0,1085;-0,1345;-0,0765;-0,0808;-0,1077;-0,096;1,0015;-0,2751;0,4889;0,6352;-0,2182;-0,1035
"seul";31;-0,3491;-0,1427;0,8341;-0,1346;-0,2075;-0,1959;0,912;0,503;0,4855;-0,8358;-0,2886;0,4556;-0,0804;-0,0777;0,6948;0,67;-0,3399;0,6899;-0,0611;-0,1525;-0,0887;-0,1005;-0,0212;-0,1858;-0,1825;-0,307;-0,0614;-0,0479;-0,0832;0,9273;0,331;-0,562;-0,1793;-0,102;0,5979;-0,0719;-0,0759;-0,1012;-0,0902;1,6227;-0,2584;-0,8438;0,6887;-0,205;-0,0972
"traduire";11;-0,1238;-0,0506;-0,1055;-0,0478;-0,0736;-0,0695;1,729;1,8652;1,2057;0,4854;0,3516;-0,1936;-0,0285;-0,0275;-0,13;-0,0371;-0,1206;-0,0352;-0,0217;-0,0541;-0,0315;-0,0356;-0,0075;-0,0659;-0,0647;-0,1089;-0,0218;-0,017;-0,0295;-0,0194;-0,2466;-0,1994;-0,1884;-0,0362;-0,0448;-0,0255;-0,0269;-0,0359;-0,032;-0,2646;-0,0917;-0,2993;-0,2476;-0,0727;-0,0345
"souvenir";13;-0,1464;-0,0598;0,6029;-0,0564;-0,087;-0,0821;0,6453;-0,5417;-0,2169;0,3909;0,2998;0,3877;-0,0337;-0,0326;-0,1536;1,018;-0,1425;-0,0416;-0,0256;-0,0639;-0,0372;-0,0421;-0,0089;-0,0779;-0,0765;-0,1287;-0,0257;-0,0201;-0,0349;-0,0229;0,3108;-0,2357;0,3968;1,028;-0,053;-0,0301;-0,0318;-0,0424;-0,0378;-0,3127;-0,1083;1,393;-0,2926;-0,0859;-0,0408
"lors";37;-0,4166;0,489;1,3319;-0,1607;-0,2477;-0,2338;-0,3172;-1,5421;-0,6173;-0,356;0,5181;-0,6513;-0,096;-0,0927;1,1165;-0,1247;-0,4057;-0,1184;-0,073;-0,182;-0,1058;0,6175;-0,0253;-0,2217;-0,2178;1,2982;-0,0733;-0,0572;0,6897;-0,0652;0,5455;-0,6709;-0,6337;1,498;-0,1508;-0,0858;0,7252;-0,1208;0,6585;0,865;-0,3084;0,4068;0,9396;-0,2446;0,63
"esprit";24;-0,2702;-0,1104;-0,2301;-0,1042;-0,1606;-0,1516;0,4233;-0,2065;-0,4004;-0,2785;0,4461;-0,4224;-0,0622;-0,0601;-0,2837;-0,0809;-0,2631;-0,0768;-0,0473;-0,118;-0,0686;-0,0778;-0,0164;-0,1438;-0,1413;-0,2376;-0,0475;-0,0371;0,8608;-0,0423;-0,1817;1,8131;0,2133;-0,0789;-0,0978;-0,0557;-0,0588;-0,0784;-0,0698;0,8646;-0,2;0,7541;1,5125;-0,1587;-0,0752
"puis";44;-0,4955;0,4287;-0,422;0,4486;-0,2945;-0,278;-0,3773;-0,6567;-0,299;0,4955;-0,489;-0,7746;-0,1141;-0,1102;0,4796;1,3416;-0,4824;-0,1408;-0,0868;1,0561;0,5993;0,553;-0,0301;0,3419;-0,259;-0,4357;-0,0871;-0,068;-0,1181;-0,0776;0,4176;-0,7978;0,6173;-0,1447;1,1962;-0,1021;-0,1077;-0,1437;0,593;-0,2405;0,2439;0,5569;0,7426;0,8457;0,5651
"religieux";14;-0,1576;-0,0644;-0,1342;-0,0608;-0,0937;-0,0884;-0,12;1,4794;1,0191;0,3521;0,2779;-0,2464;-0,0363;-0,0351;-0,1655;-0,0472;-0,1535;-0,0448;-0,0276;-0,0689;-0,04;-0,0454;-0,0096;-0,0839;-0,0824;-0,1386;-0,0277;-0,0216;-0,0376;-0,0247;-0,3139;-0,2538;0,3724;-0,046;0,9098;1,1425;-0,0343;-0,0457;-0,0407;0,7638;-0,1167;-0,381;-0,3152;-0,0925;-0,0439
"ancien";33;1,287;-0,1519;-0,3165;-0,1433;-0,2209;-0,2085;0,3199;-0,3893;-0,1902;0,574;0,2849;0,4212;-0,0856;-0,0827;1,2365;-0,1112;-0,3618;0,6658;-0,0651;-0,1623;-0,0944;0,661;-0,0225;-0,1977;-0,1943;-0,3268;0,8548;-0,051;-0,0885;-0,0582;0,3013;-0,5983;0,4359;-0,1085;0,5747;-0,0765;-0,0808;-0,1077;-0,096;0,27;-0,2751;-0,8982;0,2994;-0,2182;1,6286
"non";41;-0,4617;-0,1887;0,6473;-0,1781;0,3294;0,3475;-0,3515;1,5195;1,1699;0,3567;0,4422;1,104;-0,1064;-0,1027;-0,1559;-0,1382;-0,4495;-0,1312;-0,0809;-0,2017;-0,1173;-0,1329;-0,028;-0,2457;0,3702;0,2165;-0,0812;0,8674;-0,11;-0,0723;-0,9194;-0,7434;-0,7023;-0,1349;-0,1671;-0,0951;0,6853;-0,1339;-0,1193;0,7499;-0,3418;-0,2657;-0,4204;0,3332;-0,1286
"officiel";10;0,6414;-0,046;1,7194;-0,0434;-0,0669;-0,0632;-0,0857;-0,4167;-0,1668;-0,1464;0,3825;-0,176;-0,0259;-0,025;-0,1182;-0,0337;-0,1096;-0,032;-0,0197;-0,0492;-0,0286;1,1433;-0,0068;-0,0599;-0,0589;-0,099;-0,0198;-0,0154;-0,0268;-0,0176;-0,2242;-0,1813;-0,1712;-0,0329;-0,0407;-0,0232;-0,0245;-0,0326;-0,0291;-0,2405;0,7579;1,7112;-0,2251;-0,0661;-0,0313
"toute";38;0,203;-0,1749;-0,3644;-0,165;-0,2544;-0,2401;0,2776;0,3343;0,3747;0,4264;-0,3935;1,7799;-0,0986;0,7059;0,5659;-0,1281;-0,4166;-0,1216;-0,0749;-0,1869;-0,1087;-0,1232;-0,026;-0,2277;1,0333;-0,3763;-0,0753;-0,0587;-0,1019;-0,067;1,9531;-0,689;-0,6509;-0,125;-0,1549;-0,0881;-0,093;-0,1241;-0,1105;-0,4138;0,2858;0,3887;0,2377;-0,2513;0,6199
"autrement";12;-0,1351;-0,0552;-0,1151;-0,0521;-0,0803;-0,0758;-0,1029;0,5205;0,4326;-0,1988;0,3243;1,9785;-0,0311;-0,0301;-0,1418;-0,0404;-0,1315;-0,0384;-0,0237;-0,059;-0,0343;-0,0389;-0,0082;-0,0719;-0,0706;-0,1188;-0,0238;-0,0185;-0,0322;-0,0211;0,3356;-0,2175;-0,2055;-0,0395;-0,0489;-0,0278;1,1844;-0,0392;-0,0349;0,3138;-0,1;0,2769;-0,2701;-0,0793;-0,0376
"élite";10;-0,1126;-0,046;-0,0959;-0,0434;-0,0669;-0,0632;-0,0857;-0,4167;-0,1668;1,8092;0,3825;-0,176;-0,0259;-0,025;-0,1182;-0,0337;-0,1096;-0,032;-0,0197;-0,0492;-0,0286;1,1433;-0,0068;-0,0599;-0,0589;-0,099;-0,0198;-0,0154;-0,0268;-0,0176;-0,2242;-0,1813;0,487;-0,0329;-0,0407;-0,0232;-0,0245;-0,0326;-0,0291;-0,2405;-0,0833;1,7112;-0,2251;-0,0661;-0,0313
"latin";13;-0,1464;-0,0598;-0,1246;-0,0564;-0,087;-0,0821;0,6453;0,4729;0,4055;1,3887;0,839;-0,2288;-0,0337;-0,0326;-0,1536;-0,0438;-0,1425;-0,0416;-0,0256;0,8636;-0,0372;-0,0421;-0,0089;-0,0779;-0,0765;-0,1287;-0,0257;-0,0201;-0,0349;-0,0229;-0,2914;-0,2357;-0,2226;-0,0428;-0,053;-0,0301;1,1509;-0,0424;-0,0378;-0,3127;-0,1083;0,254;-0,2926;-0,0859;-0,0408
"intérêt";13;-0,1464;-0,0598;-0,1246;-0,0564;-0,087;-0,0821;0,6453;0,4729;0,4055;0,3909;0,2998;0,3877;-0,0337;-0,0326;-0,1536;-0,0438;-0,1425;-0,0416;-0,0256;-0,0639;-0,0372;-0,0421;-0,0089;-0,0779;0,7918;-0,1287;-0,0257;-0,0201;-0,0349;-0,0229;-0,2914;-0,2357;-0,2226;-0,0428;-0,053;-0,0301;-0,0318;-0,0424;-0,0378;1,5266;-0,1083;0,254;-0,2926;-0,0859;-0,0408
"intellectuel";12;-0,1351;-0,0552;-0,1151;-0,0521;-0,0803;-0,0758;-0,1029;0,5205;0,4326;0,8999;1,661;-0,2112;-0,0311;-0,0301;-0,1418;-0,0404;-0,1315;-0,0384;-0,0237;-0,059;-0,0343;-0,0389;-0,0082;-0,0719;-0,0706;-0,1188;-0,0238;-0,0185;-0,0322;-0,0211;-0,269;1,0757;-0,2055;-0,0395;-0,0489;-0,0278;-0,0294;-0,0392;-0,0349;0,3138;-0,1;-0,3266;-0,2701;-0,0793;-0,0376
"plan";16;-0,1801;-0,0736;-0,1534;-0,0695;1,6142;1,6605;-0,1371;1,2831;0,9201;-0,3154;0,2401;-0,2816;-0,0415;-0,0401;-0,1891;-0,0539;-0,1754;-0,0512;1,1545;-0,0787;-0,0458;-0,0518;-0,0109;-0,0959;0,7101;-0,1584;-0,0317;-0,0247;-0,0429;-0,0282;-0,3587;-0,29;-0,274;-0,0526;-0,0652;-0,0371;-0,0392;-0,0522;-0,0465;0,6735;-0,1334;-0,4354;-0,3602;-0,1058;-0,0502
"donner";35;0,2244;0,5088;-0,3357;-0,152;-0,2343;-0,2211;-0,3001;-0,4348;-0,209;0,2889;-0,3476;0,7933;-0,0908;-0,0877;0,2116;-0,118;-0,3837;0,6433;-0,069;0,4851;-0,1001;-0,1134;-0,0239;-0,2097;-0,206;-0,3466;-0,0693;-0,0541;0,7112;-0,0617;0,2746;0,3749;0,4042;-0,1151;-0,1426;-0,0812;-0,0857;0,6357;1,6409;1,4178;-0,2918;-0,1926;-0,3312;0,384;-0,1097
"jeu";14;0,5166;-0,0644;-0,1342;-0,0608;0,7121;0,7346;-0,12;-0,5834;-0,2335;0,7486;1,476;-0,2464;-0,0363;-0,0351;-0,1655;-0,0472;-0,1535;-0,0448;1,2105;-0,0689;-0,04;-0,0454;-0,0096;-0,0839;0,7624;-0,1386;-0,0277;-0,0216;-0,0376;-0,0247;-0,3139;-0,2538;0,3724;-0,046;0,9098;-0,0325;-0,0343;-0,0457;-0,0407;-0,3367;-0,1167;0,2335;-0,3152;-0,0925;-0,0439
"mur";12;0,5729;-0,0552;-0,1151;-0,0521;-0,0803;-0,0758;-0,1029;-0,5;-0,2002;0,435;0,8969;-0,2112;-0,0311;-0,0301;0,555;-0,0404;-0,1315;-0,0384;-0,0237;-0,059;-0,0343;-0,0389;-0,0082;-0,0719;0,8237;-0,1188;-0,0238;-0,0185;-0,0322;-0,0211;0,3356;-0,2175;-0,2055;-0,0395;-0,0489;-0,0278;-0,0294;-0,0392;-0,0349;-0,2886;-0,1;0,2769;1,6971;-0,0793;-0,0376
"assurer";18;-0,2027;-0,0828;-0,1726;-0,0782;-0,1205;-0,1137;-0,1543;1,1204;0,8356;0,5297;0,2087;-0,3168;-0,0467;-0,0451;-0,2127;-0,0607;-0,1973;-0,0576;-0,0355;-0,0885;-0,0515;-0,0583;-0,0123;-0,1078;-0,1059;0,4729;-0,0356;-0,0278;-0,0483;1,1522;-0,4035;-0,3263;-0,3082;-0,0592;-0,0733;1,0379;-0,0441;-0,0588;-0,0524;1,1575;-0,15;-0,1546;-0,4052;-0,119;0,9142
"possible";13;-0,1464;-0,0598;-0,1246;-0,0564;-0,087;-0,0821;-0,1114;1,5936;1,0754;-0,2266;0,2998;-0,2288;-0,0337;-0,0326;-0,1536;-0,0438;-0,1425;-0,0416;-0,0256;-0,0639;-0,0372;-0,0421;-0,0089;-0,0779;-0,0765;-0,1287;-0,0257;-0,0201;1,1127;-0,0229;-0,2914;-0,2357;1,909;-0,0428;-0,053;-0,0301;-0,0318;-0,0424;-0,0378;-0,3127;-0,1083;-0,3538;-0,2926;0,7459;-0,0408
"voisin";10;-0,1126;-0,046;-0,0959;-0,0434;-0,0669;-0,0632;-0,0857;0,6363;0,4963;1,8092;0,3825;-0,176;-0,0259;-0,025;-0,1182;-0,0337;-0,1096;-0,032;-0,0197;-0,0492;-0,0286;-0,0324;-0,0068;-0,0599;-0,0589;-0,099;-0,0198;-0,0154;-0,0268;-0,0176;-0,2242;-0,1813;-0,1712;-0,0329;-0,0407;-0,0232;-0,0245;-0,0326;-0,0291;0,3714;0,7579;-0,2721;-0,2251;-0,0661;-0,0313
"cela";25;-0,2815;-0,115;0,3724;0,6553;-0,1673;-0,1579;-0,2143;0,7197;0,6154;-0,3022;-0,2056;-0,44;-0,0648;-0,0626;-0,2955;-0,0842;-0,2741;-0,08;-0,0493;-0,123;0,8187;-0,081;-0,0171;0,535;0,5415;0,362;-0,0495;1,0702;0,8444;1,0156;-0,5605;1,7514;-0,4281;-0,0822;-0,1019;-0,058;-0,0612;-0,0816;-0,0727;0,4056;-0,2084;-0,6804;-0,1954;-0,1653;-0,0784
"nouvelle";27;-0,304;-0,1243;-0,2589;-0,1172;-0,1807;-0,1706;-0,2315;-1,1252;-0,4505;1,2291;0,7846;0,5357;-0,07;-0,0676;0,2836;0,7235;-0,296;0,7438;-0,0532;1,433;-0,0772;-0,0875;-0,0184;-0,1618;1,2935;-0,2673;-0,0535;-0,0417;-0,0724;-0,0476;-0,2196;-0,4895;-0,143;-0,0888;-0,11;0,872;-0,0661;-0,0881;-0,0785;-0,245;1,0328;-0,7349;-0,6079;1,205;0,7518
"parmi";14;1,3137;-0,0644;-0,1342;-0,0608;-0,0937;-0,0884;-0,12;-0,5834;-0,2335;0,3521;0,2779;0,3635;-0,0363;-0,0351;-0,1655;-0,0472;-0,1535;-0,0448;-0,0276;0,8338;-0,04;1,0036;-0,0096;-0,0839;-0,0824;1,4135;-0,0277;-0,0216;-0,0376;-0,0247;0,2886;-0,2538;0,3724;-0,046;-0,057;-0,0325;-0,0343;-0,0457;-0,0407;0,268;-0,1167;0,2335;-0,3152;-0,0925;-0,0439
