"";"banalfreq";"X.date_2020.06.26";"X.date_2020.07.13";"X.date_2020.12.16";"X.date_2021.01.23";"X.date_2021.03.23";"X.date_2021.03.24";"X.date_2021.04.04";"X.date_2021.05.20";"X.date_2021.05.21";"X.date_2021.08.21";"X.date_2021.08.23";"X.date_2021.10.19";"X.date_2021.10.21";"X.date_2021.12.03";"X.date_2022.04.20";"X.date_2022.05.09";"X.date_2022.06.16";"X.date_2022.06.23";"X.date_2022.06.25";"X.date_2022.09.19";"X.date_2022.10.25";"X.date_2023.01.15";"X.date_2023.02.05";"X.date_2023.04.05";"X.date_2023.05.22";"X.date_2023.08.10";"X.date_2023.10.27";"X.date_2023.11.29";"X.date_2023.12.19";"X.date_2024.01.28";"X.date_2024.02.10";"X.date_2024.02.17";"X.date_2024.09.26";"X.date_2024.11.12";"X.date_2025.03.21";"X.date_2025.04.15";"X.date_2025.04.27";"X.date_2025.06.03";"X.date_2025.06.19";"X.date_2025.06.29";"X.date_2025.07.07";"X.date_2025.08.06";"X.date_2025.08.07";"X.date_2025.09.12";"X.date_2026.03.11"
"là";54;-0,6082;0,3607;-0,518;-0,2345;0,248;0,2642;0,5455;-0,9292;-0,4075;-0,3127;0,5086;-0,1959;-0,1401;-0,1353;0,3693;0,4655;1,9585;-0,1728;-0,1065;0,3395;-0,1545;-0,175;-0,0369;-0,3237;0,784;-0,5348;-0,107;0,7575;0,5472;-0,0952;-0,3142;0,7479;0,4591;-0,1777;-0,2201;-0,1253;-0,1322;0,4766;-0,1571;-0,6889;-0,1391;0,3798;0,5372;-0,3571;1,2382
"peur";10;0,6414;-0,046;-0,0959;-0,0434;-0,0669;-0,0632;-0,0857;-0,4167;-0,1668;-0,1464;0,3825;-0,176;-0,0259;1,2515;0,623;-0,0337;0,6516;-0,032;-0,0197;-0,0492;-0,0286;-0,0324;-0,0068;-0,0599;-0,0589;-0,099;-0,0198;-0,0154;-0,0268;-0,0176;-0,2242;-0,1813;-0,1712;-0,0329;-0,0407;-0,0232;1,2612;-0,0326;-0,0291;0,3714;-0,0833;-0,2721;1,0573;-0,0661;-0,0313
"regard";12;-0,1351;-0,0552;-0,1151;-0,0521;1,8563;1,9036;-0,1029;0,5205;-0,2002;-0,5824;-0,279;-0,2112;-0,0311;-0,0301;-0,1418;-0,0404;0,5828;-0,0384;-0,0237;-0,059;-0,0343;-0,0389;-0,0082;-0,0719;-0,0706;-0,1188;-0,0238;-0,0185;-0,0322;-0,0211;0,3356;-0,2175;-0,2055;-0,0395;-0,0489;-0,0278;-0,0294;-0,0392;-0,0349;0,8732;0,6868;-0,3266;0,3343;-0,0793;-0,0376
"terre";18;0,4284;-0,0828;-0,1726;-0,0782;-0,1205;-0,1137;-0,1543;-0,7501;-0,3003;0,9398;1,1921;0,7991;-0,0467;-0,0451;0,412;-0,0607;0,4376;-0,0576;-0,0355;1,7648;-0,0515;-0,0583;-0,0123;-0,1078;-0,1059;-0,1782;-0,0356;-0,0278;-0,0483;-0,0317;0,2182;-0,3263;-0,3082;-0,0592;-0,0733;-0,0417;-0,0441;-0,0588;-0,0524;-0,433;-0,15;0,5237;0,2171;-0,119;-0,0564
"pourtant";26;-0,2927;-0,1196;-0,2493;-0,1129;-0,174;-0,1643;0,3964;1,5661;1,1369;0,277;-0,2189;-0,4577;-0,0674;-0,0651;0,8136;-0,0876;0,3176;-0,0832;-0,0513;-0,1279;-0,0744;-0,0843;-0,0178;-0,1558;-0,153;-0,2574;-0,0515;-0,0402;-0,0697;-0,0458;-0,2068;-0,4714;0,575;-0,0855;-0,1059;-0,0603;-0,0637;-0,0849;-0,0756;-0,2308;1,061;-0,2792;0,4194;-0,1719;-0,0815
"sorte";29;-0,3265;-0,1335;-0,2781;-0,1259;0,4432;0,4632;-0,2486;1,353;1,0245;0,4339;0,72;0,4936;-0,0752;-0,0726;-0,3428;-0,0977;0,2848;-0,0928;-0,0572;0,5529;-0,083;-0,094;-0,0198;-0,1738;-0,1707;-0,2872;-0,0574;1,0087;-0,0778;-0,0511;-0,6502;0,4769;-0,4967;-0,0954;-0,1182;-0,0673;-0,071;-0,0947;0,7532;-0,274;-0,2417;-0,7893;-0,6529;-0,1917;1,7346
"sauvage";10;-0,1126;-0,046;-0,0959;1,0217;0,8453;0,8685;-0,0857;-0,4167;-0,1668;-0,4854;-0,2325;-0,176;-0,0259;1,2515;-0,1182;-0,0337;0,6516;-0,032;-0,0197;-0,0492;-0,0286;-0,0324;-0,0068;-0,0599;-0,0589;-0,099;-0,0198;1,4567;-0,0268;-0,0176;0,3945;-0,1813;-0,1712;-0,0329;-0,0407;-0,0232;1,2612;-0,0326;-0,0291;0,3714;-0,0833;-0,2721;0,3931;-0,0661;-0,0313
"si";128;0,382;-0,5896;0,8263;-0,5563;0,5064;0,5498;-0,2659;1,903;0,68;-0,4016;0,2984;-0,3746;0,2719;0,282;1,6483;-0,4318;-0,4218;-0,41;-0,2527;-0,2391;0,2442;-0,4152;-0,0875;-0,3233;-0,7541;-0,6711;-0,2537;1,964;-0,3437;-0,2258;-1,9807;1,4259;0,4263;-0,4214;-0,1778;-0,2971;-0,3137;0,6041;-0,3727;-0,3359;0,6443;-0,3175;-1,991;0,2381;0,6291
"population";18;-0,2027;-0,0828;0,4842;-0,0782;-0,1205;-0,1137;-0,1543;0,3012;0,3018;0,9398;0,2087;-0,3168;-0,0467;-0,0451;1,081;-0,0607;0,4376;-0,0576;-0,0355;-0,0885;-0,0515;-0,0583;-0,0123;-0,1078;-0,1059;-0,1782;-0,0356;-0,0278;-0,0483;-0,0317;0,6411;-0,3263;-0,3082;-0,0592;-0,0733;1,0379;-0,0441;-0,0588;-0,0524;-0,433;-0,15;-0,1546;0,6385;-0,119;-0,0564
"savoir";56;1,2595;-0,2578;0,4603;-0,2432;0,6755;0,7128;0,524;-0,9863;-0,4301;-0,5514;0,4763;-0,986;-0,1453;-0,1403;-0,2562;0,4528;1,2936;-0,1792;-0,1105;1,5962;1,2803;-0,1815;-0,0383;-0,3356;-0,3297;-0,5546;-0,1109;-0,0865;0,5339;-0,0987;-1,2559;-0,2238;0,4333;-0,1842;0,3885;-0,1299;-0,1371;-0,1829;-0,1629;1,521;0,5405;0,352;-0,3396;-0,3703;-0,1756
