"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"part";0,211412580470853;-0,731739059095249;1,34786025946695;0,191697136096739;-1,16221252437313;0,30333726929875;0,107378803326392;-0,371658414734975;0,684593231823849;0,0973651096321683;-0,590300680310447;0,154068376200941;0,0129588969177934;0,0805436212262257;0,211215593136801;0,00376424945099125;0,134813186906253;0,00850765940613223;2,97467240488884e-05;0,000356360833073924;0,00120911393847057;2,44573128904419e-05;0,000898977025108645;6,12391333501396e-05;0,000665545099924202;1,13158234483002;0,000852216259871632
"et";0,0858617063676481;0,0466557083617628;-0,112186501264796;-0,151696591086485;0,228670815119646;-0,0907143215185557;0,264138500494625;0,143528114773572;-0,345122121064519;-0,466667991993554;0,703465709777059;-0,279066721044423;0,0286569612462404;0,00438988331480595;0,0196174327685794;0,0316026509540851;0,0699692917246304;0,0102008177394976;0,00017827143642078;5,26371429727889e-05;0,000304343437436454;0,000556460544589978;0,0012644574314993;0,000198991463869628;0,0241814719639127;0,309046479221854;0,00230956576927412
"texte";0,215864824029461;-0,854173733849012;1,71711703825644;-0,45795150247398;-1,37424786371466;0,20722385748391;0,0891279294375756;-0,352677823356411;0,708976494479207;-0,18908253988043;-0,567410031613962;0,0855601806855173;0,00802638536768238;0,0652020081363246;0,203650699006415;0,0127625069909652;0,111980211669757;0,00235878266455357;1,80908111759568e-05;0,000283260951351405;0,00114470631684535;8,14204054460391e-05;0,000733203324201999;1,66714660353986e-05;0,000388234641622451;1,46811889374633;0,000836790497673806
"comme";0,172151864525847;-0,336611279209669;0,265785024343147;-0,0499494911283707;0,274858162703995;-0,173350843692342;0,30352980223113;-0,593496650696678;0,468619239745491;-0,0880685155835974;0,484616556416265;-0,305643784036019;0,0379935977353796;0,075362723111001;0,0363143129128898;0,00113002970622618;0,0333395035718774;0,0122854493735635;0,000105744006225196;0,000404286860756795;0,000252053836661585;8,9021403033546e-06;0,000269556356025366;0,000107222077549082;0,00356806123014919;0,538140742973952;0,00103329433057203
"ceux";0,18676953762377;-0,623614339208921;1,2093950304638;-0,533765622704175;-0,842388510968024;0,107689741164651;0,109816276002755;-0,366671167392377;0,711097003031128;-0,313842148400778;-0,495305446482192;0,0633191391319128;0,0103467729151706;0,0598463007904693;0,173963865260549;0,0298562181141851;0,0724557059658469;0,00109696725809343;2,70854694447555e-05;0,000301964900830325;0,00113569219034298;0,000221220555715232;0,000550996893073872;9,004776668736e-06;0,000776469283244902;1,1187754767391;0,000971874430659764
"dans";0,0910391004623743;0,10724866496363;-0,293793825646276;-0,0973099195957219;-0,344488719270469;0,332300223783497;0,155069361915469;0,182679551508414;-0,500426968701227;-0,165750617735845;-0,586776952024329;0,566015958030814;0,0242644047850064;0,0174706800973494;0,101327870189937;0,00979419439110301;0,11959654357067;0,103092521645995;9,59191316658394e-05;0,000133116874552829;0,000998929069612492;0,000109588138558732;0,00137340724044822;0,00127794037164829;0,0115730897931264;0,356108623014076;0,00146762230254568
"un";0,107796599899135;0,362578046520252;-0,170116076415117;-0,013996132211328;0,292291108104476;0,146791050139136;0,204008065823193;0,686189045385112;-0,321949409789845;-0,0264880697917229;0,553169057999115;0,277806148311369;0,0412745798206935;0,242263418132147;0,0412185879143703;0,00024582688250071;0,10446207179384;0,0244075315250941;0,000209884167236111;0,00237450212609524;0,000522709349566692;3,53822645890819e-06;0,00154312376853401;0,000389196304666735;0,0180621545173874;0,323298050321784;0,00188788581958188
"révéler";0,111942933684082;1,50734417722186;-0,0321678750739335;-0,525948236842829;1,05264921947525;1,92615464465475;0,0412056017107966;0,554845417782044;-0,0118408246465998;-0,193598763714757;0,387474609172634;0,70900733533599;0,000901932873657371;0,0848433871987871;2,98645141407416e-05;0,00703408513595465;0,0274538391822337;0,0851560132654298;2,78003077816247e-06;0,000504058671927967;2,29562519481362e-07;6,13680385656943e-05;0,000245823603762958;0,000823073350122958;0,000221848366641401;2,27116626853046;0,0011443374060699
"quoi";0,1958908702685;-0,384903599717104;0,0819333330021234;-0,179090749768782;0,631501922690658;0,241071424466051;0,237165630280775;-0,466003876031201;0,09919691783399;-0,216825676909557;0,764561162616545;0,291865854941627;0,00321730577382126;0,00644436585549064;0,000225691420541997;0,000950059974369535;0,0115098110290666;0,00155384460339333;1,13507187678691e-05;4,382267839757e-05;1,98571179880922e-06;9,48727045985307e-06;0,000117962597359856;1,71904181306586e-05;0,000295797822188534;2,10429866568523;0,00130981431274102
"culture";0,203818158774112;-0,67434106750608;1,02096848387086;-0,390560056178361;-0,508691429244473;0,298540969922075;0,142733260850271;-0,472239078545837;0,714981245070272;-0,27350806577536;-0,356235121047864;0,209067368632283;0,00872095602647369;0,0495278940826331;0,0877471217425628;0,0113134422213296;0,018700020449408;0,00596675761586618;1,53599829347097e-05;0,000168137351990253;0,00038541592688527;5,64001987325229e-05;9,56783827944702e-05;3,29543586629988e-05;0,000369747277735668;1,32984241026073;0,000653890974886051
