"";"X.date_2020.06.26";"X.date_2020.07.13";"X.date_2020.12.16";"X.date_2021.01.23";"X.date_2021.03.23";"X.date_2021.03.24";"X.date_2021.04.04";"X.date_2021.05.20";"X.date_2021.05.21";"X.date_2021.08.21";"X.date_2021.08.23";"X.date_2021.10.19";"X.date_2021.10.21";"X.date_2021.12.03";"X.date_2022.04.20";"X.date_2022.05.09";"X.date_2022.06.16";"X.date_2022.06.23";"X.date_2022.06.25";"X.date_2022.09.19";"X.date_2022.10.25";"X.date_2023.01.15";"X.date_2023.02.05";"X.date_2023.04.05";"X.date_2023.05.22";"X.date_2023.08.10";"X.date_2023.10.27";"X.date_2023.11.29";"X.date_2023.12.19";"X.date_2024.01.28";"X.date_2024.02.10";"X.date_2024.02.17";"X.date_2024.09.26";"X.date_2024.11.12";"X.date_2025.03.21";"X.date_2025.04.15";"X.date_2025.04.27";"X.date_2025.06.03";"X.date_2025.06.19";"X.date_2025.06.29";"X.date_2025.07.07";"X.date_2025.08.06";"X.date_2025.08.07";"X.date_2025.09.12";"X.date_2026.03.11"
"une";0,2776;-0,2506;-1,3414;-0,9531;-0,4534;-0,3697;-0,7832;-0,8757;-0,4321;0,8385;0,8726;0,598;-0,2976;-0,4655;-1,6361;2,8967;0,7638;0,6631;-0,8862;-0,3157;-0,9492;-1,1577;-0,1853;-0,7933;1,4276;1,9321;0,5487;0,2801;-0,855;1,0054;-1,3065;-0,7867;0,585;0,4262;-0,3911;1,2299;-0,4439;-0,5169;1,4177;0,7233;0,286;0,3155;-0,6729;1,2817;-0,2932
"part";-0,4054;-0,1657;0,2609;-0,1563;0,3708;0,3897;0,2935;2,9534;1,9675;-0,3345;-0,3628;-0,2376;-0,0934;-0,0902;-0,4256;-0,1213;0,224;-0,1152;-0,071;0,4751;-0,103;-0,1167;-0,0246;-0,2157;0,4133;-0,3565;-0,0713;-0,0556;-0,0966;-0,0634;0,2623;-0,6527;0,3894;-0,1184;-0,1467;0,7572;0,7359;-0,1175;-0,1047;-0,8661;-0,3001;-0,2042;-0,3457;-0,238;-0,1129
"et";0,8447;1,6416;-0,3658;-2,0115;0,968;1,1836;0,384;-1,7458;-1,2808;-1,1342;-1,6759;-0,316;0,4234;-0,2836;-1,3683;0,666;-1,1663;-0,8146;-1,7593;3,2938;-2,0969;0,5691;2,3396;0,2796;0,7681;-0,6376;-0,5404;2,5786;2,8475;0,5518;1,991;-1,5305;-0,8179;-0,3251;1,6408;0,2619;0,4998;-0,452;0,7739;1,1523;1,1989;-0,7528;1,5676;0,4766;-0,2731
"texte";-0,2364;-0,0966;0,4306;-0,0912;-0,1405;-0,1327;-0,18;2,0229;1,3685;0,4136;-0,1548;-0,3696;-0,0545;-0,0526;-0,2482;-0,0708;1,0203;-0,0672;-0,0414;-0,1033;-0,0601;-0,068;-0,0143;-0,1258;-0,1236;-0,2079;-0,0416;1,1429;-0,0563;-0,037;-0,4708;-0,3807;-0,3596;-0,0691;-0,0856;-0,0487;-0,0514;-0,0686;-0,0611;-0,1635;-0,175;0,8798;-0,4728;-0,1388;-0,0658
"comme";0,4283;-0,4034;-0,409;0,2414;-0,6909;-0,6372;-0,9704;-0,3996;-0,2538;0,3197;0,5133;0,2998;-0,5014;0,5161;1,4383;0,3563;1,2698;-0,2326;-0,3812;-0,2009;2,036;-0,2372;-0,1321;-1,1583;0,9189;-1,914;-0,3827;-0,2986;-0,5185;-0,3407;-0,4426;0,2722;-0,2766;-0,2427;-0,7876;-0,4483;0,5294;-0,2399;-0,5623;1,7696;-0,3017;-0,4308;1,1837;0,2522;-0,2253
"ceux";0,5346;-0,1933;-0,4028;-0,1824;-0,2811;-0,2654;-0,3601;2,4107;0,6779;-0,2686;-0,2046;-0,3019;-0,1089;-0,1052;0,5064;-0,1416;-0,1436;0,5748;-0,0828;-0,2066;1,507;-0,1361;-0,0287;-0,2517;0,9602;-0,4159;-0,0832;-0,0649;-0,1127;-0,074;-0,4331;-0,7615;-0,7194;-0,1382;0,4872;-0,0974;0,676;0,5674;-0,1222;1,1316;-0,3501;-0,573;-0,1917;-0,2777;-0,1317
"dans";-0,571;-0,2921;-1,4481;0,5429;0,9856;0,9059;-0,4951;0,5633;0,5805;-0,3778;-0,6357;0,4467;-0,5553;0,5335;0,3801;0,4494;-0,395;0,505;-0,6524;-2,1818;-0,2165;-0,299;0,588;0,4484;0,6454;5,9314;-0,6561;-0,2102;0,7192;0,6038;-0,4365;-0,5663;-0,5314;-0,5176;0,6322;-0,8174;0,3295;0,4831;1,5864;-1,7395;0,5145;-1,1445;-0,6415;1,8035;-0,4691
"un";-0,3262;-0,3775;-0,6964;0,5693;2,0231;2,0441;0,8184;-3,4685;-1,641;-0,7489;-0,5011;-0,7167;1,1584;0,6923;-0,907;-0,4334;-0,3541;2,5772;-1,9438;-0,339;0,7082;0,7111;1,1658;3,2568;1,5898;0,6575;-0,7524;-0,4897;-0,3552;0,9839;-0,8933;-0,4519;0,2942;-0,5976;-0,7163;0,3769;-0,2761;-2,2884;1,4853;-0,353;0,6233;1,2748;0,6557;0,3909;0,7706
"révéler";-0,1351;-0,0552;-0,1151;0,9467;-0,0803;-0,0758;-0,1029;-0,5;-0,2002;-0,5824;-0,279;0,4144;-0,0311;-0,0301;-0,1418;-0,0404;0,5828;-0,0384;-0,0237;-0,059;-0,0343;-0,0389;-0,0082;0,8165;-0,0706;-0,1188;-0,0238;-0,0185;-0,0322;-0,0211;0,3356;-0,2175;-0,2055;-0,0395;-0,0489;1,2072;-0,0294;-0,0392;-0,0349;0,8732;1,678;0,2769;-0,2701;-0,0793;1,0811
"quoi";-0,1801;-0,0736;-0,1534;-0,0695;-0,1071;-0,1011;-0,1371;-0,6667;-0,2669;-0,7766;-0,372;0,3214;-0,0415;-0,0401;-0,1891;-0,0539;2,1685;0,9539;-0,0315;1,8639;-0,0458;-0,0518;-0,0109;-0,0959;-0,0942;-0,1584;-0,0317;-0,0247;-0,0429;-0,0282;0,2501;0,862;-0,274;-0,0526;-0,0652;-0,0371;-0,0392;-0,0522;-0,0465;1,2867;1,4401;0,1985;-0,3602;-0,1058;-0,0502
